Log,mixer_torque_M1,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_torque_M2,ac_flowrate,mixer_pressure,mixer_motor_temperature_M2,cp_temperature,cp_pressure,mixer_motor_temperature_M1,mixer_speed_M2,mixer_speed_M1,Time
445,3.172,1.5,25.8,26.7,2.87,52.1,0.261,23.2,24.1,0.415,21.6,119.868,119.868,12:11:37.000
446,3.965,1.5,25.8,26.7,3.889,52.1,0.261,23.2,25.6,0.405,21.1,119.632,119.632,12:11:38.124
447,3.889,1.5,25.8,26.7,3.474,52.1,0.245,23.2,25.6,0.453,20.9,119.263,119.263,12:11:39.260
448,2.945,1.5,25.8,26.7,3.814,52.1,0.256,23.4,24.1,0.455,20.9,120.237,120.237,12:11:40.382
449,3.587,1.5,25.8,26.7,4.003,52.1,0.271,22.7,24.2,0.43,21.1,120.154,120.154,12:11:41.520
450,2.983,1.5,27.9,28.2,4.796,52.1,0.25,22.9,24.2,0.4,20.9,119.845,119.845,12:11:42.639
451,3.512,1.5,27.9,28.2,4.154,52.1,0.25,23.2,24.2,0.375,21.1,119.797,119.797,12:11:43.779
452,2.454,1.5,27.9,26.7,4.796,52.1,0.3,22.9,24.2,0.448,21.6,121.557,121.557,12:11:44.899
453,3.965,1.5,25.8,26.7,3.323,52.1,0.275,22.9,24.2,0.428,20.9,119.034,119.034,12:11:46.049
454,3.398,1.5,25.9,26.7,3.814,52.1,0.242,23.2,24.2,0.415,20.9,120.066,120.066,12:11:47.185
455,2.945,1.5,25.8,26.7,3.436,52.1,0.28,23.2,24.2,0.396,21.3,120.431,120.431,12:11:48.327
456,2.756,1.5,25.8,26.7,3.096,52.1,0.199,23.4,25.6,0.438,20.9,120.042,120.042,12:11:49.448
457,4.078,1.5,25.8,26.7,3.474,52.1,0.255,23.2,25.6,0.403,21.1,119.457,119.457,12:11:50.591
458,3.814,1.5,25.9,26.7,4.003,52.1,0.283,22.9,25.6,0.428,21.8,120.934,120.934,12:11:51.730
459,3.361,1.5,25.8,26.7,3.436,52.1,0.264,23.2,25.6,0.435,20.9,120.034,120.034,12:11:52.866
460,3.247,1.5,25.8,26.7,3.021,52.1,0.291,23.2,25.6,0.436,20.9,119.567,119.567,12:11:54.004
461,3.059,1.5,25.9,26.7,4.116,52.1,0.247,23.2,25.6,0.42,20.9,119.859,119.859,12:11:55.142
462,3.814,1.5,25.9,26.7,3.814,52.1,0.326,23.2,25.6,0.425,21.3,120.374,120.374,12:11:56.296
463,3.021,1.5,25.8,26.7,4.456,52.1,0.305,22.9,25.6,0.459,21.6,119.814,119.814,12:11:57.436
464,3.625,1.5,25.9,26.7,3.436,52.1,0.269,23.4,25.6,0.42,21.8,119.99,119.99,12:11:58.589
465,4.418,1.5,27.9,26.7,3.738,52.1,0.314,23.2,24.2,0.365,21.1,119.449,119.449,12:11:59.729
466,3.474,1.5,27.9,26.7,3.398,52.1,0.304,23.2,24.2,0.446,20.9,120.265,120.265,12:12:00.872
467,4.229,1.5,25.8,26.7,3.814,52.1,0.242,23.6,25.6,0.431,21.6,119.603,119.603,12:12:01.996
468,3.512,1.5,25.9,26.7,3.587,52.1,0.261,23.2,25.6,0.433,21.1,119.76,119.76,12:12:03.134
469,3.587,1.5,25.9,26.7,3.549,52.1,0.233,23.2,25.6,0.446,21.3,120.279,120.279,12:12:04.271
470,3.096,1.5,25.9,26.7,3.927,52.1,0.247,22.7,24.2,0.425,21.6,120.281,120.214,12:12:05.408
471,3.172,1.5,25.8,26.7,2.87,52.1,0.24,23.4,25.7,0.443,21.8,120.234,120.234,12:12:06.561
472,3.549,1.5,25.9,26.7,3.361,52.1,0.242,23.2,24.2,0.402,21.3,120.152,120.152,12:12:07.684
473,4.078,1.5,25.8,26.7,3.663,52.1,0.26,23.8,24.2,0.417,21.8,119.79,119.79,12:12:08.816
474,2.794,1.5,25.9,26.7,3.814,52.1,0.259,23.8,24.2,0.477,21.8,119.785,119.785,12:12:09.957
475,3.738,1.5,25.9,26.7,3.889,52.1,0.245,23.6,24.2,0.417,21.8,120.306,120.306,12:12:11.090
476,3.549,1.5,25.9,28.2,3.663,52.1,0.294,23.6,24.2,0.42,21.3,120.41,120.41,12:12:12.227
477,3.361,1.5,25.9,28.2,3.738,52.1,0.265,23.6,24.2,0.428,21.1,120.224,120.224,12:12:13.368
478,3.587,1.5,25.8,28.2,3.776,52.1,0.271,23.4,24.2,0.416,21.8,119.64,119.64,12:12:14.498
479,3.549,1.5,25.8,28.2,4.947,52.1,0.204,23.2,24.2,0.45,21.8,120.097,120.097,12:12:15.633
480,3.21,1.5,25.9,28.2,4.493,52.1,0.283,23.4,24.2,0.4,20.9,120.735,120.735,12:12:16.786
481,3.285,1.5,25.9,28.2,3.927,52.1,0.233,23.2,24.2,0.449,21.1,120.087,120.087,12:12:17.924
482,2.681,1.5,25.9,26.7,3.172,52.1,0.238,23.6,24.2,0.42,21.8,120.159,120.159,12:12:19.074
483,3.512,1.5,25.9,28.2,5.74,52.1,0.238,23.8,24.2,0.388,21.1,120.082,120.082,12:12:20.205
484,3.361,1.5,25.9,28.2,4.418,52.1,0.248,23.8,24.2,0.45,21.8,120.764,120.764,12:12:21.342
485,3.096,1.5,25.9,28.2,3.587,52.1,0.275,23.4,24.2,0.433,21.8,120.32,120.32,12:12:22.478
486,3.587,1.5,25.9,28.2,3.172,52.1,0.256,24.1,24.2,0.459,21.8,120.548,120.548,12:12:23.613
487,3.549,1.5,25.9,26.7,4.154,52.1,0.237,23.2,24.2,0.464,21.3,119.852,119.852,12:12:24.751
488,3.096,1.5,25.9,26.7,3.7,52.1,0.286,23.4,24.2,0.403,20.9,119.878,119.878,12:12:25.891
489,3.549,1.5,28.0,26.7,3.134,52.1,0.289,23.2,24.2,0.405,21.3,121.1,121.1,12:12:27.028
490,3.889,1.5,28.0,26.7,3.927,52.1,0.305,23.8,24.2,0.413,21.3,119.947,119.947,12:12:28.169
491,3.814,1.5,28.0,26.7,4.267,52.1,0.345,23.4,25.7,0.43,21.6,120.196,120.196,12:12:29.296
492,2.983,1.5,28.0,26.7,3.398,52.1,0.273,23.4,25.7,0.439,21.8,119.939,119.939,12:12:30.434
493,3.247,1.5,28.0,26.7,2.908,52.1,0.284,23.8,25.7,0.416,21.3,119.744,119.744,12:12:31.577
494,3.889,1.5,28.0,26.7,5.135,52.1,0.298,23.8,24.2,0.386,21.8,119.698,119.698,12:12:32.727
495,3.398,1.5,28.0,26.7,3.512,52.1,0.328,23.6,24.2,0.413,21.3,120.016,120.016,12:12:33.860
496,3.738,1.5,28.0,26.7,3.323,52.1,0.251,23.6,25.7,0.416,21.6,119.694,119.694,12:12:34.997
497,4.04,1.5,28.0,26.7,3.059,52.1,0.231,23.4,25.7,0.41,21.3,119.351,119.351,12:12:36.132
498,3.323,1.5,25.9,26.7,3.247,52.1,0.228,23.4,25.7,0.408,21.6,120.101,120.101,12:12:37.260
499,2.53,1.5,25.9,26.8,4.947,52.1,0.256,24.1,24.2,0.36,22.0,120.244,120.244,12:12:38.393
500,3.776,1.5,25.9,26.7,3.247,52.1,0.337,23.8,25.7,0.43,21.8,119.799,119.799,12:12:39.545
501,3.323,1.5,25.9,26.7,3.436,52.1,0.261,23.8,25.7,0.4,21.8,119.914,119.914,12:12:40.681
502,3.323,1.5,25.9,26.7,4.342,52.1,0.293,23.6,25.7,0.421,21.1,120.471,120.471,12:12:41.820
503,3.927,1.5,25.9,26.7,3.361,52.1,0.236,23.8,24.3,0.417,21.8,119.028,119.028,12:12:42.958
504,3.814,1.5,25.9,26.7,3.436,52.1,0.231,23.8,24.3,0.397,21.6,120.946,120.946,12:12:44.096
505,3.889,1.5,25.9,26.7,4.758,52.1,0.251,23.4,25.7,0.469,21.1,120.254,120.254,12:12:45.248
506,2.681,1.5,28.0,26.8,3.398,52.1,0.27,23.8,25.7,0.459,22.7,120.216,120.216,12:12:46.397
507,3.361,1.5,28.0,26.7,3.134,52.1,0.295,23.6,25.7,0.413,20.9,120.054,120.054,12:12:47.531
508,4.229,1.5,25.9,26.7,4.607,52.1,0.245,23.4,25.7,0.407,21.8,119.918,119.918,12:12:48.667
509,3.889,1.5,25.9,26.8,3.323,52.1,0.3,23.8,25.7,0.37,22.3,120.187,120.187,12:12:49.799
510,2.908,1.5,25.9,26.7,5.135,52.1,0.232,23.8,24.3,0.464,20.9,119.908,119.908,12:12:50.938
511,2.945,1.5,25.9,26.7,2.908,52.1,0.278,23.6,24.3,0.417,21.3,120.262,120.262,12:12:52.074
512,3.172,1.5,25.9,26.7,3.965,52.1,0.276,23.8,24.3,0.455,21.8,120.091,120.091,12:12:53.213
513,3.625,1.5,25.9,26.7,3.814,52.1,0.275,23.8,24.3,0.469,22.3,119.841,119.841,12:12:54.352
514,3.323,1.5,25.9,26.8,2.908,52.1,0.28,23.8,24.3,0.469,21.1,119.828,119.828,12:12:55.508
515,3.361,1.5,25.9,26.7,4.267,52.1,0.254,23.8,24.3,0.396,22.0,119.728,119.728,12:12:56.649
516,4.418,1.5,25.9,26.7,3.814,52.1,0.254,24.3,24.3,0.479,22.5,120.135,120.135,12:12:57.788
517,2.945,1.5,28.0,26.7,3.247,52.1,0.326,24.1,25.7,0.416,21.3,120.007,120.007,12:12:58.941
518,3.285,1.5,28.0,26.8,2.945,52.1,0.271,23.8,25.7,0.425,21.6,119.902,119.902,12:13:00.080
519,3.285,1.5,25.9,26.8,4.607,52.1,0.216,24.1,24.3,0.408,21.3,120.125,120.125,12:13:01.199
520,4.003,1.5,25.9,26.7,3.587,52.1,0.26,24.3,24.3,0.425,22.9,119.902,119.902,12:13:02.334
521,3.927,1.5,25.9,26.8,3.965,52.1,0.288,23.8,24.3,0.448,22.3,119.393,119.393,12:13:03.474
522,3.512,1.5,25.9,26.7,3.134,52.1,0.255,23.6,24.3,0.496,21.6,120.053,120.053,12:13:04.610
523,3.398,1.5,25.9,26.8,3.549,52.1,0.266,23.8,24.3,0.454,21.8,119.945,119.945,12:13:05.763
524,2.87,1.5,25.9,26.8,4.796,52.1,0.295,24.1,24.3,0.413,21.3,120.081,120.081,12:13:06.906
525,3.361,1.5,25.9,26.8,3.398,52.1,0.256,24.3,24.3,0.476,22.0,119.655,119.655,12:13:08.046
526,3.927,1.5,25.9,26.8,3.512,52.1,0.3,23.8,24.3,0.408,21.6,119.863,119.863,12:13:09.180
527,3.663,1.5,25.9,26.8,3.285,52.1,0.276,23.8,24.3,0.474,22.7,120.012,120.012,12:13:10.317
528,2.983,1.5,25.9,28.2,3.965,52.1,0.281,23.8,24.3,0.443,21.8,119.754,119.754,12:13:11.446
529,3.096,1.5,25.9,28.2,2.681,52.1,0.254,23.8,24.3,0.415,21.6,120.04,120.04,12:13:12.586
530,3.512,1.5,25.9,28.2,3.625,52.1,0.243,23.8,24.3,0.403,21.8,119.996,119.996,12:13:13.720
531,3.549,1.5,25.9,26.8,4.078,52.1,0.286,23.8,24.3,0.448,21.6,119.978,119.978,12:13:14.854
532,4.38,1.5,25.9,26.8,2.983,52.1,0.27,23.6,24.3,0.455,21.8,119.097,119.097,12:13:15.989
533,3.965,1.5,25.9,26.8,4.116,52.1,0.284,23.8,24.3,0.41,22.9,119.845,119.845,12:13:17.129
534,3.7,1.5,25.9,26.8,3.889,52.1,0.214,23.8,24.3,0.421,22.0,120.42,120.42,12:13:18.274
535,3.134,1.5,25.9,26.8,4.267,52.1,0.236,23.8,24.3,0.428,21.8,120.118,120.118,12:13:19.410
536,3.663,1.5,25.9,26.8,2.908,52.1,0.208,23.8,24.3,0.408,22.0,120.152,120.152,12:13:20.553
537,3.927,1.5,25.9,26.8,3.172,52.1,0.271,24.1,24.3,0.4,22.0,120.26,120.26,12:13:21.690
538,3.021,1.5,25.9,26.8,4.833,52.1,0.242,24.1,24.3,0.425,21.8,120.358,120.358,12:13:22.828
539,2.832,1.5,25.9,26.8,3.549,52.1,0.265,23.8,24.3,0.454,22.5,119.756,119.756,12:13:23.964
540,3.398,1.5,28.0,26.8,3.738,52.1,0.193,24.3,25.8,0.446,21.8,119.852,119.852,12:13:25.098
541,4.418,1.5,28.0,26.8,3.814,52.1,0.26,23.8,25.8,0.421,22.3,119.266,119.266,12:13:26.238
542,3.549,1.5,28.0,26.8,3.285,52.1,0.281,24.1,25.8,0.416,21.8,120.284,120.284,12:13:27.372
543,3.021,1.5,28.0,26.8,2.983,52.1,0.255,24.1,25.8,0.391,21.6,119.813,119.813,12:13:28.506
544,4.116,1.5,25.9,26.8,4.191,52.1,0.251,24.1,24.3,0.43,21.8,120.076,120.076,12:13:29.669
545,3.852,1.5,25.9,26.8,4.342,52.1,0.238,24.1,24.3,0.421,22.0,119.909,119.909,12:13:30.810
546,2.87,1.5,25.9,26.8,3.738,52.1,0.242,24.3,24.3,0.417,22.7,119.794,119.794,12:13:31.958
547,3.549,1.5,25.9,26.8,3.587,52.1,0.219,23.8,24.3,0.436,22.0,120.061,120.061,12:13:33.096
548,3.927,1.5,25.9,26.8,4.644,52.1,0.284,24.1,24.3,0.369,22.9,120.815,120.815,12:13:34.235
549,3.738,1.5,25.9,26.8,2.983,52.1,0.294,24.1,24.3,0.493,22.0,119.741,119.741,12:13:35.374
550,3.134,1.5,25.9,26.8,3.398,52.1,0.333,23.8,24.3,0.377,21.3,120.397,120.397,12:13:36.513
551,3.587,1.5,25.9,26.8,3.852,52.1,0.323,23.8,24.3,0.435,21.8,120.005,120.005,12:13:37.652
552,3.7,1.5,25.9,26.8,3.361,52.1,0.27,23.6,24.3,0.413,21.8,120.852,120.852,12:13:38.793
553,3.021,1.5,25.9,26.8,3.889,52.1,0.248,24.3,24.3,0.397,22.0,119.857,119.857,12:13:39.933
554,3.776,1.5,25.9,26.8,2.681,52.1,0.247,24.5,25.8,0.433,22.5,119.707,119.707,12:13:41.067
555,3.587,1.5,28.0,26.8,3.436,52.1,0.317,24.3,25.8,0.436,22.0,119.387,119.387,12:13:42.193
556,3.549,1.5,25.9,26.8,3.776,52.1,0.266,24.1,25.8,0.403,22.3,121.014,121.014,12:13:43.349
557,3.852,1.5,25.9,26.8,3.587,52.1,0.281,24.3,25.8,0.416,22.3,119.554,119.554,12:13:44.487
558,3.738,1.5,25.9,26.8,3.738,52.1,0.266,23.8,25.8,0.479,22.3,119.383,119.383,12:13:45.627
559,3.814,1.5,25.9,26.8,3.965,52.1,0.242,24.3,25.8,0.416,22.3,120.125,120.229,12:13:46.768
560,3.21,1.5,25.9,26.8,4.154,52.1,0.27,23.8,25.8,0.407,21.8,120.248,120.248,12:13:47.910
561,4.003,1.5,25.9,26.8,2.832,52.1,0.238,24.3,25.8,0.428,22.3,119.928,119.928,12:13:49.052
562,3.436,1.5,25.9,26.8,3.247,52.1,0.236,24.3,25.8,0.428,21.8,119.882,119.882,12:13:50.183
563,3.361,1.5,25.9,26.8,3.625,52.1,0.259,23.8,25.8,0.459,21.8,120.216,120.216,12:13:51.319
564,2.794,1.5,25.9,26.8,3.776,52.1,0.26,24.8,25.8,0.45,22.7,119.632,119.632,12:13:52.461
565,3.096,1.5,28.0,26.8,3.587,52.1,0.228,24.3,24.4,0.402,21.8,120.464,120.464,12:13:53.598
566,3.398,1.5,25.9,26.8,3.21,52.1,0.27,25.0,25.8,0.387,22.3,119.828,119.828,12:13:54.754
567,3.172,1.5,25.9,26.8,4.418,52.1,0.233,24.3,24.4,0.372,21.8,120.019,120.019,12:13:55.909
568,3.549,1.5,25.9,26.8,4.078,52.1,0.256,24.3,24.3,0.443,22.7,120.151,120.151,12:13:57.044
569,3.474,1.5,25.9,26.8,4.191,52.1,0.243,24.3,24.4,0.42,22.3,119.842,119.842,12:13:58.189
570,3.738,1.5,25.9,26.8,3.096,52.1,0.265,24.3,24.4,0.47,21.8,119.731,119.731,12:13:59.326
571,2.605,1.5,26.0,26.8,3.738,52.1,0.237,24.3,24.4,0.444,21.8,119.612,119.612,12:14:00.464
572,4.493,1.5,25.9,26.8,3.398,52.1,0.233,24.3,25.8,0.413,21.8,119.096,119.096,12:14:01.600
573,3.814,1.5,25.9,26.8,4.116,52.1,0.251,24.3,24.4,0.431,22.3,119.601,119.601,12:14:02.750
574,3.247,1.5,25.9,26.8,3.474,52.1,0.245,24.5,24.4,0.47,22.0,119.864,119.864,12:14:03.893
575,4.796,1.5,25.9,26.8,3.134,52.1,0.266,24.3,24.4,0.453,22.3,118.801,118.801,12:14:05.030
576,3.323,1.5,25.9,26.8,3.361,52.1,0.264,24.5,24.4,0.479,21.8,120.152,120.152,12:14:06.187
577,4.116,1.5,25.9,26.8,3.172,52.1,0.27,24.5,24.4,0.386,21.3,118.93,118.93,12:14:07.321
578,2.719,1.5,26.0,26.8,3.398,52.1,0.245,24.3,24.4,0.469,21.8,119.727,119.727,12:14:08.457
579,3.587,1.5,26.0,26.8,4.003,52.1,0.25,24.1,24.4,0.416,21.8,119.878,119.878,12:14:09.597
580,4.267,1.5,26.0,26.8,5.06,52.1,0.231,23.8,24.4,0.464,22.3,119.632,119.632,12:14:10.737
581,3.361,1.5,25.9,26.8,3.512,52.1,0.28,24.3,24.4,0.492,21.8,120.28,120.28,12:14:11.873
582,3.285,1.5,25.9,26.8,3.852,52.1,0.264,24.5,25.8,0.43,22.3,119.787,119.787,12:14:13.004
583,3.096,1.5,26.0,26.8,3.398,52.1,0.264,24.5,25.8,0.421,22.5,119.985,119.985,12:14:14.142
584,3.889,1.5,25.9,26.8,4.154,52.1,0.242,24.5,25.8,0.449,22.7,120.34,120.34,12:14:15.283
585,3.512,1.5,26.0,26.8,3.247,52.1,0.27,24.3,24.4,0.43,22.5,119.737,119.737,12:14:16.440
586,2.87,1.5,26.0,26.8,3.096,52.1,0.248,24.5,24.4,0.518,22.3,121.121,121.121,12:14:17.581
587,3.965,1.5,26.0,28.3,4.871,52.1,0.294,24.8,24.4,0.472,21.8,119.873,119.873,12:14:18.733
588,2.605,1.5,28.0,28.3,3.738,52.1,0.337,24.5,24.4,0.428,23.2,119.956,119.956,12:14:19.889
589,3.625,1.5,28.1,26.8,3.21,52.1,0.245,24.3,24.4,0.435,21.8,119.753,119.753,12:14:21.041
590,3.7,1.5,28.1,28.3,3.814,52.1,0.31,24.3,24.4,0.444,22.3,120.639,120.639,12:14:22.178
591,4.305,1.5,28.1,28.3,4.342,52.1,0.283,24.3,24.4,0.417,22.7,119.646,119.646,12:14:23.316
592,2.983,1.5,28.1,28.3,4.342,52.1,0.283,24.5,24.4,0.41,22.7,119.721,119.721,12:14:24.452
593,3.323,1.5,28.1,28.3,3.549,52.1,0.271,24.5,24.4,0.421,22.5,120.666,120.666,12:14:25.591
594,4.191,1.5,26.0,28.3,3.852,52.1,0.289,24.5,24.4,0.42,22.3,119.178,119.178,12:14:26.728
595,3.814,1.5,28.1,28.3,4.078,52.1,0.276,24.3,24.4,0.493,22.9,119.721,119.721,12:14:27.868
596,3.7,1.5,26.0,28.3,2.719,52.1,0.192,24.5,24.4,0.425,22.5,119.745,119.745,12:14:29.008
597,3.474,1.5,28.1,28.3,3.549,52.1,0.288,24.8,24.4,0.393,22.0,120.358,120.358,12:14:30.150
598,3.927,1.5,28.1,26.8,3.738,52.1,0.247,24.5,24.4,0.407,22.9,119.684,119.684,12:14:31.304
599,2.945,1.5,28.1,26.8,3.096,52.1,0.269,24.5,24.4,0.459,23.2,119.819,119.819,12:14:32.446
600,3.21,1.5,28.1,26.8,3.021,52.1,0.25,25.0,24.4,0.472,21.8,120.538,120.538,12:14:33.589
601,3.398,1.5,28.1,28.3,3.965,52.1,0.261,25.0,24.4,0.464,22.3,120.3,120.3,12:14:34.728
602,4.003,1.5,28.1,28.3,3.172,52.1,0.283,24.3,24.4,0.443,22.0,119.894,119.894,12:14:35.864
603,3.7,1.5,26.0,26.8,3.814,52.1,0.294,24.5,24.4,0.435,22.5,120.001,120.001,12:14:37.018
604,3.361,1.5,28.1,26.8,4.116,52.1,0.256,24.8,24.4,0.411,22.9,120.328,120.328,12:14:38.156
605,3.663,1.5,28.1,26.8,3.21,52.1,0.254,24.5,24.4,0.421,22.3,119.918,119.918,12:14:39.298
606,2.983,1.5,28.1,26.8,3.059,52.1,0.266,25.0,24.4,0.491,21.8,119.998,119.998,12:14:40.437
607,3.247,1.5,28.1,26.8,3.663,52.1,0.233,24.3,24.4,0.431,22.3,119.787,119.787,12:14:41.573
608,3.738,1.5,26.0,26.8,3.738,52.1,0.256,24.5,25.8,0.436,22.5,120.504,120.504,12:14:42.731
609,3.474,1.5,26.0,26.8,3.474,52.1,0.28,24.5,24.4,0.416,22.9,120.083,120.083,12:14:43.872
610,3.247,1.5,26.0,26.8,2.983,52.1,0.321,25.0,24.4,0.407,22.3,119.814,119.814,12:14:45.006
611,2.87,1.5,26.0,26.8,3.927,52.1,0.211,24.8,24.4,0.446,22.3,119.759,119.759,12:14:46.145
612,3.663,1.5,26.0,26.8,3.776,52.1,0.298,24.5,24.4,0.431,22.5,119.602,119.602,12:14:47.283
613,3.021,1.5,26.0,26.8,3.096,52.1,0.233,24.5,25.9,0.455,22.5,119.921,119.921,12:14:48.439
614,3.814,1.5,26.0,26.8,3.474,52.1,0.273,24.8,25.8,0.435,22.3,120.454,120.454,12:14:49.595
615,3.927,1.5,26.0,26.8,4.569,52.1,0.232,25.0,25.8,0.415,22.9,120.017,120.017,12:14:50.737
616,2.87,1.5,26.0,26.8,4.418,52.1,0.271,25.0,24.4,0.458,23.2,119.964,119.964,12:14:51.895
617,3.776,1.5,26.0,26.8,2.983,52.1,0.24,24.5,24.4,0.46,22.9,121.086,121.086,12:14:53.034
618,4.191,1.5,26.0,26.8,4.191,52.1,0.259,25.0,24.4,0.465,22.7,119.691,119.691,12:14:54.172
619,3.323,1.5,26.0,26.8,3.021,52.1,0.271,24.5,24.4,0.469,22.9,120.508,120.508,12:14:55.313
620,3.134,1.5,26.0,26.8,3.7,52.1,0.231,25.0,25.8,0.428,23.2,119.431,119.431,12:14:56.452
621,3.059,1.5,26.0,26.8,3.021,52.1,0.194,24.8,25.9,0.453,22.0,120.953,120.953,12:14:57.588
622,3.965,1.5,28.1,26.8,4.229,52.1,0.271,25.0,24.4,0.482,22.3,120.099,120.099,12:14:58.741
623,3.625,1.5,28.1,26.8,3.852,52.1,0.245,24.8,24.4,0.46,23.2,119.988,119.988,12:14:59.881
624,4.607,1.5,28.1,26.8,3.361,52.1,0.265,24.8,24.4,0.396,22.9,118.962,118.962,12:15:01.020
625,3.285,1.5,26.0,26.8,4.984,52.1,0.304,25.4,25.9,0.383,22.9,119.826,119.826,12:15:02.156
626,4.229,1.5,26.0,26.8,3.474,52.1,0.313,25.0,25.9,0.453,22.7,119.828,119.828,12:15:03.291
627,3.096,1.5,28.1,26.8,3.096,52.1,0.251,24.8,24.4,0.468,22.3,120.822,120.822,12:15:04.445
628,3.059,1.5,28.1,26.8,2.87,52.1,0.251,24.8,24.4,0.438,22.3,119.973,119.973,12:15:05.586
629,3.889,1.5,28.1,26.8,3.7,52.1,0.26,24.5,24.4,0.502,22.9,119.44,119.44,12:15:06.720
630,3.512,1.5,26.0,26.8,3.7,52.1,0.276,25.0,25.9,0.425,22.3,120.313,120.313,12:15:07.857
631,3.512,1.5,26.0,26.8,2.983,52.1,0.24,24.8,25.9,0.433,22.5,119.983,119.983,12:15:08.995
632,3.398,1.5,28.1,26.8,4.682,52.1,0.291,24.8,24.4,0.464,23.2,120.329,120.329,12:15:10.151
633,3.587,1.5,28.1,26.8,3.625,52.1,0.326,25.0,24.4,0.433,22.5,120.66,120.66,12:15:11.289
634,3.134,1.5,28.1,26.8,3.927,52.1,0.261,24.8,25.9,0.481,22.0,120.374,120.374,12:15:12.427
635,3.21,1.5,28.1,26.8,2.719,52.1,0.232,25.2,25.9,0.421,22.7,120.172,120.172,12:15:13.563
636,3.474,1.5,28.1,26.8,4.191,52.1,0.273,25.2,25.9,0.43,21.8,119.81,119.81,12:15:14.699
637,4.003,1.5,26.0,26.8,4.003,52.1,0.31,25.2,25.9,0.407,22.5,120.166,120.166,12:15:15.831
638,3.549,1.5,26.0,26.7,3.436,52.1,0.278,25.0,25.9,0.455,22.7,119.309,119.309,12:15:16.974
639,3.361,1.5,28.1,26.7,3.663,52.1,0.256,25.0,24.4,0.454,22.7,120.568,120.568,12:15:18.130
640,4.305,1.5,28.1,26.7,3.776,52.1,0.305,25.0,25.9,0.403,22.9,119.054,119.054,12:15:19.263
641,3.096,1.5,28.1,26.7,3.587,52.1,0.226,25.0,24.4,0.425,22.0,119.542,119.542,12:15:20.416
642,2.983,1.5,26.0,28.2,2.908,52.1,0.276,24.8,24.4,0.469,22.5,120.014,120.014,12:15:21.573
643,4.078,1.5,26.0,28.2,4.418,52.1,0.276,25.0,24.4,0.446,22.9,119.637,119.637,12:15:22.710
644,3.549,1.5,26.0,28.2,3.852,52.1,0.259,25.0,24.4,0.476,23.2,119.804,119.804,12:15:23.849
645,3.134,1.5,26.0,28.2,3.096,52.1,0.264,25.0,24.4,0.468,22.9,119.887,119.887,12:15:25.003
646,4.003,1.5,26.1,26.7,4.947,52.1,0.255,25.0,24.4,0.381,22.3,120.098,120.098,12:15:26.168
647,4.003,1.5,26.1,26.7,2.983,52.1,0.247,25.4,24.4,0.472,22.9,121.16,121.16,12:15:27.310
648,2.945,1.5,26.0,26.7,2.681,52.1,0.275,25.0,24.4,0.443,22.9,119.848,119.848,12:15:28.446
649,3.738,1.5,26.0,26.7,3.398,52.1,0.278,25.0,24.4,0.422,22.9,119.399,119.399,12:15:29.595
650,3.965,1.5,26.0,26.7,4.191,52.1,0.288,24.8,24.4,0.443,22.9,119.9,119.9,12:15:30.731
651,2.568,1.5,28.1,26.7,3.814,52.1,0.308,25.2,25.9,0.396,22.7,120.283,120.283,12:15:31.889
652,3.814,1.5,26.1,26.7,3.436,52.1,0.254,25.4,25.9,0.479,23.4,119.898,119.898,12:15:33.025
653,3.21,1.5,26.0,26.6,3.814,52.1,0.26,25.0,24.4,0.441,23.4,120.136,120.136,12:15:34.158
654,3.776,1.5,26.1,26.7,3.512,52.1,0.269,24.8,24.5,0.463,22.9,121.113,121.113,12:15:35.297
655,2.794,1.5,28.1,26.6,4.418,52.1,0.222,25.2,25.9,0.403,23.4,120.727,120.727,12:15:36.450
656,3.474,1.5,26.0,26.6,3.436,52.1,0.283,25.2,24.4,0.444,22.7,120.079,120.079,12:15:37.621
657,3.21,1.5,28.2,26.6,3.21,52.1,0.197,24.8,24.4,0.413,22.9,119.844,119.844,12:15:38.758
658,3.096,1.5,28.2,26.6,4.531,52.1,0.242,25.2,24.4,0.479,22.9,120.033,120.033,12:15:39.893
659,3.172,1.5,28.1,26.6,3.474,52.1,0.321,24.8,24.4,0.45,22.5,120.1,120.1,12:15:41.032
660,3.852,1.5,28.2,26.6,3.889,52.1,0.226,25.2,24.4,0.491,23.4,120.361,120.361,12:15:42.171
661,3.852,1.5,28.1,26.6,3.21,52.1,0.27,25.4,25.9,0.453,23.6,119.795,119.795,12:15:43.309
662,2.53,1.5,28.2,26.6,4.154,52.1,0.314,25.2,24.4,0.441,23.8,119.766,119.766,12:15:44.457
663,3.7,1.5,26.1,26.6,3.436,52.1,0.336,25.0,24.4,0.45,22.9,119.847,119.847,12:15:45.604
664,3.776,1.5,26.1,26.6,3.323,52.1,0.271,25.4,24.4,0.431,22.9,119.896,119.896,12:15:46.742
665,3.285,1.5,26.0,26.6,4.984,52.1,0.322,25.2,24.5,0.443,22.9,120.961,120.961,12:15:47.883
666,3.663,1.5,26.1,28.1,4.607,52.1,0.291,24.8,24.5,0.408,22.9,119.532,119.979,12:15:49.028
667,3.927,1.5,26.1,26.6,4.154,52.1,0.259,25.2,24.5,0.488,22.9,120.132,120.132,12:15:50.169
